ID,TLC,EOM,LEAF,Gaia,RAdeg,DEdeg,plx,Gmag,bp-rp,Weight,teff_gspphot,radius_gspphot,teff_gspspec,logg_gspspec,teff_esphs,logg_esphs,tic,tmag,noise
93116,27,-1,,3211428415376506624,75.0391,-6.0607,3.142,10.48,0.58,0.04,6720.12060546875,1.6693999767303467,6683.0,4.210000038146973,nan,nan,43489773,10.1755,0.0005656795327073976
93192,27,-1,,3333213690522941056,84.1223,6.8339,3.051,9.52,0.68,0.1,6754.48828125,2.9279000759124756,nan,nan,nan,nan,436243092,9.16621,0.0005069744358030283
93210,27,-1,,3217139244411830912,82.8384,-2.0992,3.722,8.58,0.06,0.04,10053.8671875,1.8522000312805176,8000.0,4.800000190734863,9302.6708984375,4.1831793785095215,50727109,8.5877,0.0004885766414116829
93220,27,-1,,3011995766515038848,86.2355,-9.7892,3.558,10.64,0.59,0.05,6642.08935546875,1.4278000593185425,nan,nan,nan,nan,279787206,10.335,0.0005823280479370702
93233,27,-1,,3012435463790685184,86.7467,-9.0417,3.053,10.13,0.34,0.06,7789.033203125,1.6050000190734863,nan,nan,7655.82421875,4.142765998840332,66559368,9.9593,0.0005489637638265692
93418,27,-1,,2997097452678400128,86.547,-12.6892,3.294,10.63,0.61,0.01,6431.28662109375,1.549399971961975,6519.0,4.289999961853027,nan,nan,317090406,10.3117,0.0005795375411740755
93457,27,-1,,3013458013901361536,81.2924,-9.9413,3.047,10.06,0.29,0.08,8079.0283203125,1.5475000143051147,nan,nan,7889.04052734375,4.0368499755859375,24701826,9.92523,0.0005445172900777586
93475,27,-1,,3213629843813505920,78.0551,-3.7304,3.034,9.99,0.44,0.08,7151.5810546875,1.8639999628067017,nan,nan,nan,nan,248475849,9.76075,0.0005339138702673042
93480,27,-1,,3213421722581722368,78.4091,-4.0042,3.602,9.85,0.39,0.01,7723.09130859375,1.6452000141143799,nan,nan,7703.3720703125,4.140192031860352,248997990,9.65281,0.0005272164825555594
93508,27,-1,,3213699486706579968,77.8683,-3.4346,3.171,10.01,0.58,0.03,6565.93408203125,2.1837000846862793,nan,nan,nan,nan,248448075,9.70611,0.0005301739089089184
93525,27,-1,,3013715742002083200,83.3622,-9.3929,3.257,8.97,0.38,0.02,7226.55078125,3.990799903869629,nan,nan,nan,nan,201371074,8.77672,0.0004929603560315288
93647,27,-1,,3025566488781025280,89.3484,-2.0186,3.183,11.01,0.59,0.0,6787.47802734375,1.2548999786376953,nan,nan,nan,nan,39474632,10.7077,0.0006463443264422717
93934,27,-1,,3015849967087339008,85.6838,-7.4663,3.97,10.53,0.7,0.03,6212.7919921875,1.4541000127792358,6503.0,4.260000228881836,nan,nan,279582343,10.1631,0.0005664963293558318
94049,27,-1,,3016685797786077824,82.5064,-6.8486,3.843,10.43,0.6,0.01,6651.0947265625,1.4228999614715576,nan,nan,nan,nan,34398322,10.112,0.0005598077651032387
94051,27,-1,,3016672298706384384,81.8718,-6.9282,3.916,9.64,0.17,0.09,nan,nan,nan,nan,8908.3955078125,4.222456932067871,199752613,9.56732,0.0005228853082713969
94196,27,-1,,3017728070386783488,89.3105,-8.4283,3.518,9.46,0.2,0.19,8389.740234375,1.607699990272522,nan,nan,8286.7939453125,4.036501884460449,67164474,9.3778,0.0005148705052947616
94240,27,-1,,2994991780536051840,86.8278,-16.2503,3.311,11.2,0.74,0.03,5967.31884765625,1.3410999774932861,6357.0,4.360000133514404,nan,nan,317135691,10.8127,0.0006480969706134124
94248,27,-1,,3022725518236595072,89.3172,-4.7038,3.27,9.83,0.7,0.06,6057.47216796875,2.637700080871582,6360.0,4.070000171661377,nan,nan,39471775,9.4617,0.0005197674883145079
94265,27,-1,,3018145953524930944,92.1782,-7.3091,3.145,10.35,0.53,0.06,6694.6953125,1.68340003490448,6971.0,4.389999866485596,nan,nan,72096184,10.0757,0.000563770661527895
94296,27,-1,,3018379702824363520,90.5022,-6.9849,3.301,10.98,0.66,0.13,6234.2685546875,1.3514000177383423,6573.0,4.380000114440918,nan,nan,71624661,10.635,0.0006318148720153279
94312,27,-1,,3023205115761421952,86.1906,-5.1049,3.396,10.5,0.57,0.0,6776.86669921875,1.470900058746338,6750.0,4.289999961853027,nan,nan,72884066,10.2171,0.0005723025876991165
94313,27,-1,,3023125263729609472,85.5376,-5.3992,3.527,10.31,0.55,0.03,6770.99462890625,1.516700029373169,nan,nan,nan,nan,11455849,10.0182,0.0005536665569735417
94330,27,-1,,3018641901988214144,88.255,-7.5598,3.631,10.68,0.62,0.12,6511.96240234375,1.358299970626831,6465.0,4.260000228881836,nan,nan,66913264,10.357,0.0005868933382275548
